district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,4080000000.0,127.0,152.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,3200000000.0,77.0,148.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
New Cluster,Cilandak,-6.277122299999999,106.7975781,26/05/2024,1100000000.0,63.0,70.0,,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Duri Kepa,Kembangan,-6.169184599999999,106.7748596,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Tanjung Duren,Kebon Jeruk,-6.1803589,106.7837213,26/05/2024,1100000000.0,63.0,70.0,2.0,2.0,2.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Lebak Bulus,Tebet,-6.3031123,106.7794935,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
New Cluster,Tebet,-6.2251223,106.8549881,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Ulujami,Tebet,-6.240989799999999,106.763273,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,26/05/2024,4000000000.0,265.0,165.0,1.0,5.0,2.0,2.0,,HGB,,,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,850000000.0,68.0,68.0,1.0,3.0,1.0,1.0,,SHM,1300.0,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,2500000000.0,45.0,92.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,3300000000.0,98.0,160.0,2.0,3.0,3.0,1.0,,SHM,2200.0,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,800000000.0,84.0,91.0,2.0,4.0,2.0,,,SHM,2200.0,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,11800000000.0,506.0,270.0,,5.0,4.0,2.0,1.0,SHM,2200.0,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,2500000000.0,45.0,92.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,2023.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,3400000000.0,60.0,130.0,3.0,5.0,3.0,1.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,5900000000.0,144.0,165.0,3.0,4.0,4.0,3.0,,SHM,,,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,3400000000.0,60.0,130.0,3.0,4.0,4.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2910600000.0,77.0,153.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2822400000.0,82.0,135.0,3.0,3.0,3.0,1.0,,,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2548000000.0,60.0,136.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2665600000.0,70.0,138.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2800000000.0,100.0,120.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Cideng,Gambir,-6.1705904,106.8075136,19/05/2024,8000000000.0,258.0,350.0,2.0,6.0,4.0,,5.0,SHM,3500.0,Semi Furnished,2010.0
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2940000000.0,106.0,131.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,3020000000.0,108.0,137.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,3162000000.0,118.0,131.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,4193000000.0,152.0,186.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,1910000000.0,24.0,84.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2052000000.0,24.0,90.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2160000000.0,24.0,84.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2261000000.0,30.0,106.0,,4.0,4.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2334000000.0,30.0,120.0,4.0,5.0,5.0,1.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,4800000000.0,172.0,200.0,2.0,5.0,4.0,2.0,1.0,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,4800000000.0,172.0,200.0,,5.0,4.0,2.0,1.0,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,4800000000.0,172.0,172.0,2.0,5.0,4.0,2.0,1.0,SHM,,,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,4900000000.0,122.0,180.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,4700000000.0,122.0,180.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,4750000000.0,122.0,180.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,4800000000.0,122.0,180.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,4850000000.0,122.0,180.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,3578000000.0,126.0,152.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,5500000000.0,98.0,180.0,3.0,4.0,3.0,2.0,,SHM,,Unfurnished,
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,19/05/2024,3032000000.0,110.0,120.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,2753000000.0,95.0,120.0,2.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Amiele Residence,Pasar Minggu,-6.274196099999999,106.8338378,19/05/2024,3500000000.0,98.0,222.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,3500000000.0,98.0,222.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
pejaten,Pasar Minggu,-6.270482899999999,106.8384873,19/05/2024,3700000000.0,72.0,120.0,3.0,4.0,3.0,2.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,1700000000.0,78.0,75.0,2.0,2.0,3.0,1.0,,SHM,1300.0,Unfurnished,
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,3000000000.0,170.0,170.0,1.0,3.0,1.0,,2.0,SHM,2200.0,Unfurnished,2022.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,3000000000.0,140.0,170.0,2.0,3.0,2.0,,1.0,SHM,2200.0,Unfurnished,2022.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,1980000000.0,51.0,112.0,3.0,4.0,3.0,1.0,,SHM,4400.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2000000000.0,51.0,112.0,3.0,4.0,3.0,1.0,,SHM,4400.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2300000000.0,61.0,120.0,3.0,4.0,4.0,1.0,,SHM,4400.0,Unfurnished,2023.0
